Sentence,NER
Chris Hoiles hit his 22nd homer for Baltimore .,I-PER I-PER O O O O O I-LOC O
"In New York , Jason Dickson scattered 10 hits over 6 1/3 innings in his major-league debut and Chili Davis belted a homer from each side of the plate as the California Angels defeated the Yankees 7-1 .",O I-LOC I-LOC O I-PER I-PER O O O O O O O O O O O O I-PER I-PER O O O O O O O O O O O I-ORG I-ORG O O I-ORG O O
Dickson allowed a homer to Derek Jeter on his first major-league pitch but settled down .,I-PER O O O O I-PER I-PER O O O O O O O O O
"He was the 27th pitcher used by the Angels this season , tying a major-league record .",O O O O O O O O I-ORG O O O O O O O O
Jimmy Key ( 9-10 ) took the loss as the Yankees lost their ninth in 14 games .,I-PER I-PER O O O O O O O O I-ORG O O O O O O O
They stranded 11 baserunners .,O O O O O
"California played without interim manager John McNamara , who was admitted to a New York hospital with a blood clot in his right calf .",I-LOC O O O O I-PER I-PER O O O O O O I-LOC I-LOC O O O O O O O O O O
"In Boston , Mike Stanley 's bases-loaded two-run single snapped an eighth-inning tie and gave the Red Sox their third straight win , 6-4 over the Oakland Athletics .",O I-LOC O I-PER I-PER O O O O O O O O O O O I-ORG I-ORG O O O O O O O O I-ORG I-ORG O
Stanley owns a .367 career batting average with the bases loaded ( 33-for-90 ) .,I-PER O O O O O O O O O O O O O O
"Boston 's Mo Vaughn went 3-for-3 with a walk , stole home for one of his three runs scored and collected his 116th RBI .",I-LOC O I-PER I-PER O O O O O O O O O O O O O O O O O O O I-MISC O
"Scott Brosius homered and drove in two runs for the Athletics , who have lost seven of their last nine games .",I-PER I-PER O O O O O O O O I-ORG O O O O O O O O O O O
"In Detroit , Brad Ausmus 's three-run homer capped a four-run eighth and lifted the Tigers to a 7-4 victory over the reeling Chicago White Sox .",O I-LOC O I-PER I-PER O O O O O O O O O O I-ORG O O O O O O O I-ORG I-ORG I-ORG O
"The Tigers have won consecutive games after dropping eight in a row , but have won nine of their last 12 at home .",O I-ORG O O O O O O O O O O O O O O O O O O O O O O
The White Sox have lost six of their last eight games .,O I-ORG I-ORG O O O O O O O O O
"In Kansas City , Juan Guzman tossed a complete-game six-hitter to win for the first time in over a month and lower his league-best ERA as the Toronto Blue Jays won their fourth straight , 6-2 over the Royals .",O I-LOC I-LOC O I-PER I-PER O O O O O O O O O O O O O O O O O O I-MISC O O I-ORG I-ORG I-ORG O O O O O O O O I-ORG O
"Guzman ( 10-8 ) won for the first time since July 16 , a span of six starts .",I-PER O O O O O O O O O O O O O O O O O O
He allowed two runs -- one earned -- and lowered his ERA to 2.99 .,O O O O O O O O O O O I-MISC O O O
"At Minnesota , John Jaha 's three-run homer , his 26th , capped a five-run eighth inning that rallied the Milwaukee Brewers to a 10-7 victory over the Twins .",O I-LOC O I-PER I-PER O O O O O O O O O O O O O O O I-ORG I-ORG O O O O O O I-ORG O
Jaha added an RBI single in the ninth and had four RBI .,I-PER O O I-MISC O O O O O O O I-MISC O
Jose Valentin hit his 21st homer for Milwaukee .,I-PER I-PER O O O O O I-ORG O
-DOCSTART-,O
SOCCER - COCU DOUBLE EARNS PSV 4-1 WIN .,O O I-PER O O I-ORG O O O
AMSTERDAM 1996-08-22,I-LOC O
Philip Cocu scored twice in the second half to spur PSV Eindhoven to a 4-1 away win over NEC Nijmegen in the Dutch first division on Thursday .,I-PER I-PER O O O O O O O O I-ORG I-ORG O O O O O O I-ORG I-ORG O O I-MISC O O O O O
He scored from close range in the 54th minute and from a bicycle kick 13 minutes later .,O O O O O O O O O O O O O O O O O O
"Arthur Numan and Luc Nilis , Dutch top scorer last season , were PSV 's other marksmen .",I-PER I-PER O I-PER I-PER O I-MISC O O O O O O I-ORG O O O O
Ajax Amsterdam opened their title defence with a 1-0 win over NAC Breda on Wednesday .,I-ORG I-ORG O O O O O O O O O I-ORG I-ORG O O O
-DOCSTART-,O
SOCCER - DUTCH FIRST DIVISION SUMMARY .,O O I-MISC O O O O
AMSTERDAM 1996-08-22,I-LOC O
Summary of Thursday 's only,O O O O O
Dutch first division match :,I-MISC O O O O
"NEC Nijmegen 1 ( Van Eykeren 15th ) PSV Eindhoven 4 ( Numan 11th ,",I-ORG I-ORG O O O O O O I-ORG I-ORG O O O O O
"Nilis 42nd , Cocu 54th , 67th ) .",I-PER O O I-PER O O O O O
Halftime 1-2 .,O O O
"Attendance 8,000",O O
-DOCSTART-,O
SOCCER - DUTCH FIRST DIVISION RESULT .,O O I-MISC O O O O
AMSTERDAM 1996-08-22,I-LOC O
Result of a Dutch first,O O O I-MISC O
division match on Thursday :,O O O O O
NEC Nijmegen 1 PSV Eindhoven 4,I-ORG I-ORG O I-ORG I-ORG O
-DOCSTART-,O
SOCCER - SHARPSHOOTER KNUP BACK IN SWISS SQUAD .,O O O I-PER O O I-MISC O O
GENEVA 1996-08-22,I-LOC O
"Galatasaray striker Adrian Knup , scorer of 26 goals in 45 internationals , has been recalled by Switzerland for the World Cup qualifier against Azerbaijan in Baku on August 31 .",I-ORG O I-PER I-PER O O O O O O O O O O O O O I-LOC O O I-MISC I-MISC O O I-LOC O I-LOC O O O O
Knup was overlooked by Artur Jorge for the European championship finals earlier this year .,I-PER O O O I-PER I-PER O O I-MISC O O O O O O
But new coach Rolf Fringer is clearly a Knup fan and included him in his 19-man squad on Thursday .,O O O I-PER I-PER O O O I-PER O O O O O O O O O O O
Switzerland failed to progress beyond the opening group phase in Euro 96 .,I-LOC O O O O O O O O O I-MISC I-MISC O
Squad :,O O
"Goalkeepers - Marco Pascolo ( Cagliari ) , Pascal Zuberbuehler ( Grasshoppers ) .",O O I-PER I-PER O I-ORG O O I-PER I-PER O I-ORG O O
"Defenders - Stephane Henchoz ( Hamburg ) , Marc Hottiger ( Everton ) , Yvan Quentin ( Sion ) , Ramon Vega ( Cagliari ) Raphael Wicky ( Sion ) .",O O I-PER I-PER O I-ORG O O I-PER I-PER O I-ORG O O I-PER I-PER O I-ORG O O I-PER I-PER O I-ORG O I-PER I-PER O I-ORG O O
"Midfielders - Alexandre Comisetti ( Grasshoppers ) , Antonio Esposito ( Grasshoppers ) , Sebastien Fournier ( Stuttgart ) , Christophe Ohrel ( Lausanne ) , Patrick Sylvestre ( Sion ) , David Sesa ( Servette ) , Ciriaco Sforza ( Inter Milan ) Murat Yakin ( Grasshoppers ) .",O O I-PER I-PER O I-ORG O O I-PER I-PER O I-ORG O O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O I-PER I-PER O I-ORG O O I-PER I-PER O I-ORG O O I-PER I-PER O I-ORG I-ORG O I-PER I-PER O I-ORG O O
"Strikers - Kubilay Turkyilmaz ( Grasshoppers ) , Adrian Knup ( Galatasaray ) , Christophe Bonvin ( Sion ) , Stephane Chapuisat ( Borussia Dortmund ) .",O O I-PER I-PER O I-ORG O O I-PER I-PER O I-ORG O O I-PER I-PER O I-ORG O O I-PER I-PER O I-ORG I-ORG O O
-DOCSTART-,O
"ATHLETICS - IT 'S A RECORD - 40,000 BEERS ON THE HOUSE .",O O O O O O O O O O O O O
BRUSSELS 1996-08-22,I-LOC O
Spectators at Friday 's Brussels grand prix meeting have an extra incentive to cheer on the athletes to world record performances -- a free glass of beer .,O O O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O
"A Belgian brewery has offered to pay for a free round of drinks for all of the 40,000 crowd if a world record goes at the meeting , organisers said on Thursday .",O I-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
It could be one of the most expensive rounds of drinks ever .,O O O O O O O O O O O O O
The meeting is sold out already .,O O O O O O O
"Two world records are in serious danger of being broken at the meeting -- the women 's 1,000 metres and the men 's 3,000 metres .",O O O O O O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-,O
GOLF - GERMAN OPEN FIRST ROUND SCORES .,O O I-MISC I-MISC O O O O
"STUTTGART , Germany 1996-08-22",I-LOC O I-LOC O
Leading first round,O O O
scores in the German Open golf championship on Thursday ( Britain,O O O I-MISC I-MISC O O O O O I-LOC
unless stated ) :,O O O O
62 Paul Broadhurst,O I-PER I-PER
63 Raymond Russell,O I-PER I-PER
"64 David J. Russell , Michael Campbell ( New Zealand ) , Ian",O I-PER I-PER I-PER O I-PER I-PER O I-LOC I-LOC O O I-PER
"Woosnam , Bernhard Langer ( Germany ) , Ronan Rafferty , Mats",I-PER O I-PER I-PER O I-LOC O O I-PER I-PER O I-PER
"Lanner ( Sweden ) , Wayne Riley ( Australia )",I-PER O I-LOC O O I-PER I-PER O I-LOC O
"65 Eamonn Darcy ( Ireland ) , Per Nyman ( Sweden ) , Russell Claydon ,",O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O I-PER I-PER O
"Mark Roe , Retief Goosen ( South Africa ) , Carl Suneson",I-PER I-PER O I-PER I-PER O I-LOC I-LOC O O I-PER I-PER
"66 Stephen Field , Paul Lawrie , Ian Pyman , Max Anglert",O I-PER I-PER O I-PER I-PER O I-PER I-PER O I-PER I-PER
"( Sweden ) , Miles Tunnicliff , Christian Cevaer ( France ) ,",O I-LOC O O I-PER I-PER O I-PER I-PER O I-LOC O O
"Des Smyth ( Ireland ) , David Carter , Lee Westwood , Greg",I-PER I-PER O I-LOC O O I-PER I-PER O I-PER I-PER O I-PER
"Chalmers ( Australia ) , Miguel Angel Martin ( Spain ) ,",I-PER O I-LOC O O I-PER I-PER I-PER O I-LOC O O
"Thomas Bjorn ( Denmark ) , Fernando Roca ( Spain ) , Derrick",I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O I-PER
Cooper,I-PER
"67 Jeff Hawksworth , Padraig Harrington ( Ireland ) , Michael",O I-PER I-PER O I-PER I-PER O I-LOC O O I-PER
"Welch , Thomas Gogele ( Germany ) , Paul McGinley ( Ireland ) ,",I-PER O I-PER I-PER O I-LOC O O I-PER I-PER O I-LOC O O
"Gary Orr , Jose-Maria Canizares ( Spain ) , Michael Jonzon",I-PER I-PER O I-PER I-PER O I-LOC O O I-PER I-PER
"( Sweden ) , Paul Eales , David Williams , Andrew Coltart ,",O I-LOC O O I-PER I-PER O I-PER I-PER O I-PER I-PER O
"Jonathan Lomas , Jose Rivero ( Spain ) , Robert Karlsson",I-PER I-PER O I-PER I-PER O I-LOC O O I-PER I-PER
"( Sweden ) , Marcus Wills , Pedro Linhart ( Spain ) , Jamie",O I-LOC O O I-PER I-PER O I-PER I-PER O I-LOC O O I-PER
"Spence , Terry Price ( Australia ) , Juan Carlos Pinero ( Spain ) ,",I-PER O I-PER I-PER O I-LOC O O I-PER I-PER I-PER O I-LOC O O
Mark Mouland,I-PER I-PER
-DOCSTART-,O
SOCCER - UEFA REWARDS THREE COUNTRIES FOR FAIR PLAY .,O O I-ORG O O O O O O O
GENEVA 1996-08-22,I-LOC O
"Norway , England and Sweden were rewarded for their fair play on Thursday with an additional place in the 1997-98 UEFA Cup competition .",I-LOC O I-LOC O I-LOC O O O O O O O O O O O O O O O I-MISC I-MISC O O
"Norway headed the UEFA Fair Play rankings for 1995-96 with 8.62 points , ahead of England with 8.61 and Sweden 8.57 .",I-LOC O O I-MISC I-MISC I-MISC O O O O O O O O O I-LOC O O O I-LOC O O
"The rankings are based on a formula that takes into account many factors including red and yellow cards , and coaching and spectators ' behaviour at matches played at an international level by clubs and national teams .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Only the top three countries are allocated additional places .,O O O O O O O O O O
The UEFA Fair Play rankings are : 1 .,O I-MISC I-MISC I-MISC O O O O O
Norway 8.62 points,I-LOC O O
2. England 8.61,O I-LOC O
3. Sweden 8.57,O I-LOC O
4. Faroe Islands 8.56,O I-LOC I-LOC O
5. Wales 8.54,O I-LOC O
6. Estonia 8.52,O I-LOC O
7. Ireland 8.45,O I-LOC O
8. Belarus 8.39,O I-LOC O
9. Iceland 8.35,O I-LOC O
10. Netherlands 8.30,O I-LOC O
10. Denmark 8.30,O I-LOC O
10. Germany 8.30,O I-LOC O
13. Scotland 8.29,O I-LOC O
13. Latvia 8.29,O I-LOC O
15. Moldova 8.24,O I-LOC O
16. Yugoslavia 8.22,O I-LOC O
16. Belgium 8.22,O I-LOC O
18. Luxembourg 8.20,O I-LOC O
19. France 8.18,O I-LOC O
20. Israel 8.17,O I-LOC O
21. Switzerland 8.15,O I-LOC O
21. Slovakia 8.15,O I-LOC O
23. Poland 8.12,O I-LOC O
23. Portugal 8.12,O I-LOC O
25. Georgia 8.10,O I-LOC O
26. Ukraine 8.09,O I-LOC O
26. Spain 8.09,O I-LOC O
26. Finland 8.09,O I-LOC O
29. Macedonia 8.07,O I-LOC O
30. Lithuania 8.06,O I-LOC O
31. Austria 8.05,O I-LOC O
32. Russia 8.03,O I-LOC O
33. Romania 8.02,O I-LOC O
33. Turkey 8.02,O I-LOC O
35. Hungary 7.98,O I-LOC O
36. Czech Republic 7.95,O I-LOC I-LOC O
37. Greece 7.89,O I-LOC O
37. Northern Ireland 7.89,O I-LOC I-LOC O
39. Italy 7.85,O I-LOC O
40. Cyprus 7.83,O I-LOC O
41. Armenia 7.80,O I-LOC O
42. Slovenia 7.77,O I-LOC O
43. Croatia 7.75,O I-LOC O
44. Bulgaria 7.73,O I-LOC O
45. Malta 7.40,O I-LOC O
-DOCSTART-,O
CRICKET - POLICE COMMANDOS ON HAND FOR AUSTRALIANS ' FIRST MATCH .,O O O O O O O I-MISC O O O O
COLOMBO 1996-08-22,I-LOC O
Armed police commandos patrolled the ground when Australia opened their short tour of Sri Lanka with a five-run win over the country 's youth team on Thursday .,O O O O O O O I-LOC O O O O O I-LOC I-LOC O O O O O O O O O O O O O
"Australia , in Sri Lanka for a limited overs tournament which also includes India and Zimbabwe , have been promised the presence of commandos , sniffer dogs and plainclothes policemen to ensure the tournament is trouble-free .",I-LOC O O I-LOC I-LOC O O O O O O O O I-LOC O I-LOC O O O O O O O O O O O O O O O O O O O O O
They are making their first visit to the island since boycotting a World Cup fixture in February because of fears over ethnic violence .,O O O O O O O O O O O O I-MISC I-MISC O O O O O O O O O O
"Australia , batting first in Thursday 's the warm-up match , scored 251 for seven from their 50 overs .",I-LOC O O O O O O O O O O O O O O O O O O O
Ricky Ponting led the way with 100 off 119 balls with two sixes and nine fours before retiring .,I-PER I-PER O O O O O O O O O O O O O O O O O
The youth side replied with 246 for seven .,O O O O O O O O O
Australian coach Geoff Marsh said he was impressed with the competitiveness of the opposition .,I-MISC O I-PER I-PER O O O O O O O O O O O
""" We were made to sweat to win , "" he said .",O O O O O O O O O O O O O
-DOCSTART-,O
ONE ROMANIAN DIES IN BUS CRASH IN BULGARIA .,O I-MISC O O O O O I-LOC O
SOFIA 1996-08-22,I-LOC O
"One Romanian passenger was killed , and 14 others were injured on Thursday when a Romanian-registered bus collided with a Bulgarian one in northern Bulgaria , police said .",O I-MISC O O O O O O O O O O O O O I-MISC O O O O I-MISC O O O I-LOC O O O O
"The two buses collided head on at 5 o'clock this morning on the road between the towns of Rousse and Veliko Tarnovo , police said .",O O O O O O O O O O O O O O O O O O I-LOC O I-LOC I-LOC O O O O
"A Romanian woman Maria Marco , 35 , was killed .",O I-MISC O I-PER I-PER O O O O O O
"The accident was being investigated , police added .",O O O O O O O O O
"-- Sofia Newsroom , 359-2-84561",O I-ORG I-ORG O O
-DOCSTART-,O
"OFFICIAL JOURNAL CONTENTS - OJ L 211 OF AUGUST 21 , 1996 .",I-ORG I-ORG O O I-ORG O O O O O O O O
*,O
( Note - contents are displayed in reverse order to that in the printed Journal ),O O O O O O O O O O O O O O I-ORG O
*,O
Corrigendum to Commission Regulation ( EC ) No 1464/96 of 25 July 1996 relating to a standing invitation to tender to determine levies and / or refunds on exports of white sugar ( OJ No L 187 of 26.7.1996 ),O O I-MISC I-MISC O I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Corrigendum to Commission Regulation ( EC ) No 658/96 of 9 April 1996 on certain conditions for granting compensatory payments under the support system for producers of certain arable crops ( OJ No L 91 of 12.4.1996 ),O O I-MISC I-MISC O I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O I-ORG O O O O O O
Commission Regulation ( EC ) No 1663/96 of 20 August 1996 establishing the standard import values for determining the entry price of certain fruit and vegetables END OF DOCUMENT .,I-MISC I-MISC O I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-,O
In Home Health to appeal payment denial .,I-ORG I-ORG I-ORG O O O O O
"MINNETONKA , Minn .",I-LOC O I-LOC O
1996-08-22,O
In Home Health Inc said on Thursday it will appeal to the U.S. Federal District Court in Minneapolis a decision by the Health Care Financing Administration ( HCFA ) that denied reimbursement of certain costs under Medicaid .,I-ORG I-ORG I-ORG I-ORG O O O O O O O O I-ORG I-ORG I-ORG I-ORG O I-LOC O O O O I-ORG I-ORG I-ORG I-ORG O I-ORG O O O O O O O O I-MISC O
"The HCFA Administrator reversed a previously favorable decision regarding the reimbursement of costs related to the company 's community liaison personnel , it added .",O I-ORG O O O O O O O O O O O O O O O O O O O O O O O
The company said it continues to believe the majority of the community liaison costs are coverable under the terms of the Medicare program .,O O O O O O O O O O O O O O O O O O O O O I-MISC O O
""" We are disappointed with the administrator 's decision but we continue to be optimistic regarding an ultimate favorable resolution , "" Mark Gildea , chief executive officer , said in a statement .",O O O O O O O O O O O O O O O O O O O O O O I-PER I-PER O O O O O O O O O O
In Home Health said it previously recorded a reserve equal to 16 percent of all revenue related to the community liaison costs .,I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O
"Separately , In Home Health said the U.S. District Court in Minneapolis ruled in its favor regarding the reimbursement of certain interest expenses .",O O I-ORG I-ORG I-ORG O O I-ORG I-ORG I-ORG O I-LOC O O O O O O O O O O O O
"This decision will result in the reimbursement by Medicare of $ 81,000 in disputed costs .",O O O O O O O O I-MISC O O O O O O O
""" This is our first decision in federal distrct court regarding a dispute with Medicare , "" Gildea said . """,O O O O O O O O O O O O O O I-MISC O O I-PER O O O
"We are extremely pleased with this decision and we recognize it as a significant step toward resolution of our outstanding Medicare disputes . """,O O O O O O O O O O O O O O O O O O O O I-MISC O O O
-- Chicago Newsdesk 312-408-8787,O I-ORG I-ORG O
-DOCSTART-,O
Oppenheimer Capital to review Oct. div .,I-ORG I-ORG O O O O O
NEW YORK 1996-08-22,I-LOC I-LOC O
"Oppenheimer Capital LP said on Thursday it will review its cash distribution rate for the October quarterly distribution , assuming continued favorable results .",I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O
"The company , which reported improved first quarter earnings for the period ended July 31 , 1996 , declared a quarterly distribution of $ 0.65 per partnership unit for the quarter ended July .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-,O
Best sees Q2 loss similar to Q1 loss .,I-ORG O O O O O O O O
"RICHMOND , Va .",I-LOC O I-LOC O
1996-08-22,O
Best Products Co Chairman and Chief Executive Daniel Levy said Thursday he expected the company 's second-quarter results to be similar to the $ 34.6 million loss posted in the first quarter .,I-ORG I-ORG I-ORG O O O O I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O
"He also told Reuters before the retailer 's annual meeting that the second quarter could be better than the first quarter ended May 4 . """,O O O I-ORG O O O O O O O O O O O O O O O O O O O O O O
"We could do even better , "" he said .",O O O O O O O O O O
The second-quarter results are expected to be released in September .,O O O O O O O O O O O
Levy said seeking bankruptcy protection was not under consideration .,I-PER O O O O O O O O O
Best emerged from Chapter 11 bankruptcy protection in June 1994 after 3-1/2 years .,I-ORG O O I-MISC I-MISC O O O O O O O O O
""" Bankruptcy is always possible , particularly when you lose what we are going to lose in the first half of this year , "" Levy said . """,O O O O O O O O O O O O O O O O O O O O O O O O O I-PER O O O
"But this is not something we are striving to do . """,O O O O O O O O O O O O
The Richmond-based retailer lost $ 95.7 million in the fiscal year ended February 3 .,O I-MISC O O O O O O O O O O O O O
That was the second-largest loss in the company 's history .,O O O O O O O O O O O
Levy said that Best planned to open two new stores this fall .,I-PER O O I-ORG O O O O O O O O O
The company announced in March that it was closing seven stores and backing out of nine new lease agreements .,O O O O O O O O O O O O O O O O O O O O
"At the time , Best said it did not plan to open any new stores this fall .",O O O O I-ORG O O O O O O O O O O O O O
It currently operates 169 stores in 23 states .,O O O O O O O O O
"For last year 's second quarter , which ended July 29 , 1995 , Best posted a loss of $ 7.1 million , or $ 0.23 per share , on sales of $ 311.9 million .",O O O O O O O O O O O O O O I-ORG O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-,O
Measles exposure can lead to bowel disease - study .,O O O O O O O O O O
LONDON 1996-08-23,I-LOC O
"Women who get measles while pregnant may have babies at higher risk of Crohn 's disease , a debilitating bowel disorder , researchers said on Friday .",O O O O O O O O O O O O O I-PER O O O O O O O O O O O O O
"Three out of four Swedish babies born to mothers who caught measles developed serious cases of Crohn 's disease , the researchers said .",O O O O I-MISC O O O O O O O O O O O I-PER O O O O O O O
"Dr Andrew Wakefield of the Royal Free Hospital School of Medicine and colleagues screened 25,000 babies delivered at University Hospital , Uppsala , between 1940 and 1949 .",O I-PER I-PER O O I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC O O O O O O O I-LOC I-LOC O I-LOC O O O O O O
Four of the mothers had measles while pregnant .,O O O O O O O O O
""" Three of the four children had Crohn 's disease , "" Wakefield 's group wrote in the Lancet medical journal .",O O O O O O O I-PER O O O O I-PER O O O O O I-ORG O O O
Crohn 's is an inflammation of the bowel that can sometimes require surgery .,I-PER O O O O O O O O O O O O O
"It causes diarrhoea , abdominal pain and weight loss .",O O O O O O O O O O
The researchers said the three children involved had especially severe cases .,O O O O O O O O O O O O
Exposure to viruses can often cause birth defects .,O O O O O O O O O
"Most notably , women who get rubella ( German measles ) have a high risk of a stillborn baby .",O O O O O O O O I-MISC O O O O O O O O O O O
-DOCSTART-,O
All the key numbers - CBI August industrial trends .,O O O O O I-ORG O O O O
LONDON 1996-08-23,I-LOC O
Following are key data from the August monthly survey of trends in UK manufacturing by the Confederation of British Industry ( CBI ) .,O O O O O O O O O O O O I-LOC O O O I-ORG I-ORG I-ORG I-ORG O I-ORG O O
CBI MONTHLY TRENDS ENQUIRY ( a ) AUG JULY JUNE MAY,I-ORG O O O O O O O O O O
- total order book - 10 - 22 - 13 - 17,O O O O O O O O O O O O
- export order book - 14 - 13 - 11 - 7,O O O O O O O O O O O O
- stocks of finished goods +17 +19 +17 +25,O O O O O O O O O
- output expectations * +22 +22 +12 +16,O O O O O O O O
- domestic price expectations * 0 - 1 +6 +4,O O O O O O O O O O
NOTES - * over the coming four months ;,O O O O O O O O O
"- ( a ) in percent , giving balance between those",O O O O O O O O O O O
"replying "" above normal "" and those replying "" below normal . """,O O O O O O O O O O O O O
"The survey was conducted between July 23 and August 14 and involved 1,305 companies , representing 50 industries , accounting for around half of the UK 's manufactured exports and some two million employees .",O O O O O O O O O O O O O O O O O O O O O O O O O I-LOC O O O O O O O O O
"-- Rosemary Bennett , London Newsroom +44 171 542 7715",O I-PER I-PER O I-ORG I-ORG O O O O
-DOCSTART-,O
London shipsales .,I-LOC O O
LONDON 1996-08-22,I-LOC O
- Secondhand tonnage brokers reported the sale of the following vessels .,O O O O O O O O O O O O
"Iron Gippsland - ( built 1989 ) 87,241 dwt sold to Greek buyers for $ 30 million .",I-MISC I-MISC O O O O O O O O O I-MISC O O O O O O
"Sairyu Maru No : 2 - ( built 1982 ) 60,960 dwt sold to Greek buyers for $ 15.5 million .",I-MISC I-MISC I-MISC I-MISC I-MISC O O O O O O O O O I-MISC O O O O O O
"Stainless Fighter - ( built 1970 ) 21,718 dwt sold at auction for $ 6 million .",I-MISC I-MISC O O O O O O O O O O O O O O O
"Some of these sales may not be final as they may be subject to inspection , survey or other conditions .",O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-,O
"Garlic pills do n't lower cholesterol , study finds .",O O O O O O O O O O
LONDON 1996-08-22,I-LOC O
"Garlic pills may not lower blood cholesterol and studies that show they do may be flawed , British researchers have reported .",O O O O O O O O O O O O O O O O O I-MISC O O O O
A study by a team of doctors at Oxford University has found people with high blood cholesterol do not benefit significantly from taking garlic tablets .,O O O O O O O O I-ORG I-ORG O O O O O O O O O O O O O O O O
The study involved 115 people with high blood cholesterol levels .,O O O O O O O O O O O
"They were given 900 milligrams a day of dried garlic powder or placebo tablets . """,O O O O O O O O O O O O O O O O
"There were no significant differences between the groups receiving garlic and placebo , "" they wrote in the Journal of the Royal College of Physicians .",O O O O O O O O O O O O O O O O O O I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O
"Those taking part were told to eat a low-fat diet for six weeks before they started taking the pills , and their blood cholesterol measured before and after the six-week period .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The researchers said this would make their findings more accurate .,O O O O O O O O O O O
Several studies have found garlic pills can lower blood pressure and blood cholesterol .,O O O O O O O O O O O O O O
"But the Oxford team disputed these findings and said either previous trials may have been interpreted incorrectly , those taking part were not given special diets beforehand or the duration of the studies may have been too short .",O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"The six-month trial was funded by the British Heart Foundation and Lichtwer Pharma GmbH , which makes Kwai brand garlic tablets .",O O O O O O O I-ORG I-ORG I-ORG O I-ORG I-ORG I-ORG O O O I-MISC O O O O
The study did not address whether whole garlic could affect cholesterol .,O O O O O O O O O O O O
-- London Newsroom +44 171 542 7950,O I-ORG I-ORG O O O O
-DOCSTART-,O
Britain gives aid to volcano-hit Caribbean island .,I-LOC O O O O I-LOC O O
LONDON 1996-08-22,I-LOC O
"Britain said on Thursday it would give 25 million pounds ( $ 39 million ) of development aid to the Caribbean island of Montserrat , where much of the population living in the south has fled to avoid a volcano .",I-LOC O O O O O O O O O O O O O O O O O O O I-LOC O O I-LOC O O O O O O O O O O O O O O O O O
"The volcano in the Soufriere hills has erupted three times in the past 13 months and last April some 4,500 people living in the capital , Plymouth , and southern areas were evacuated to the north , where many are living in public shelters and schools .",O O O O O O O O O O O O O O O O O O O O O O O O O O I-ORG O O O O O O O O O O O O O O O O O O O O
""" This assistance will provide a fast track development programme for the designated ( northern ) safe area , "" Britain 's Overseas Development Administration said in a statement .",O O O O O O O O O O O O O O O O O O O O I-LOC O I-ORG I-ORG I-ORG O O O O O
"Britain gave 8.5 million pounds ( $ 13 million ) to Montserrat , which is one of its dependent territories , when the volcano first became active .",I-LOC O O O O O O O O O O I-LOC O O O O O O O O O O O O O O O O
"Overseas Development Minister Lynda Chalker said a recent census had shown most Montserratians wanted to remain on the island . """,O O O I-PER I-PER O O O O O O O I-MISC O O O O O O O O
"The development of the north will help them to do just that , "" she said .",O O O O O O O O O O O O O O O O O
-DOCSTART-,O
Tennis - Philippoussis looms for Sampras in U.S. Open .,O O I-PER O O I-PER O I-MISC I-MISC O
Bill Berkrot,I-PER I-PER
NEW YORK 1996-08-22,I-LOC I-LOC O
"World number one Pete Sampras , seeking his first Grand Slam title of the year , and women 's top seed Steffi Graf , aiming for her third , should be able to ease into the year 's final major , which begins on Monday .",O O O I-PER I-PER O O O O I-MISC I-MISC O O O O O O O O O O I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O
"Sampras opens the defence of his U.S. Open crown against David Rikl of the Czech Republic , while top-ranked Graf begins her title defence against Yayuk Basuki of Indonesia .",I-PER O O O O O I-MISC I-MISC O O I-PER I-PER O O I-LOC I-LOC O O O I-PER O O O O O I-PER I-PER O I-LOC O
Wednesday 's U.S. Open draw ceremony revealed that both title holders should run into their first serious opposition in the third round .,O O I-MISC I-MISC O O O O O O O O O O O O O O O O O O O
"Looming in Sampras 's future is a likely third-round date with recent nemesis Mark Philippoussis , the rising Australian who took out Sampras in the third round of the Australian Open in January .",O O I-PER O O O O O O O O O O I-PER I-PER O O O I-MISC O O O I-PER O O O O O O I-MISC I-MISC O O O
